word,meaning,word_type,last_sound,can_combine
ಕೆಳಗಿಳಿಯುತ್ತಿದ್ದಂತೆ,,,ೆ,yes
ಅಗ್ರಹಾರ,,,ರ,yes
ಹಳ್ಳಿ,,,ಿ,yes
ಸಿಗುತ್ತದೆ,,,ೆ,yes
ಅಲ್ಲಿಂದ,,,ದ,yes
ಸ್ವಲ್ಪ,,,ಪ,yes
ಮುಂದೆ,,,ೆ,yes
ಸಾಗಿದರೆ,,,ೆ,yes
ಎಡಬದಿ,,,ಿ,yes
ದಿಬ್ಬದ,,,ದ,yes
ಅಷ್ಟಕೋನಾಕೃತಿಯ,,,ಯ,yes
ಚೌಖಂಡಿ,,,ಿ,yes
ಮುಸ್ಲಿಂ,,,ಂ,yes
ಕಟ್ಟಡವೊಂದು,,,ು,yes
ಕಾಣುತ್ತದೆ,,,ೆ,yes
ಎಂದರೆ,,,ೆ,yes
ನಾಲ್ಕು,,,ು,yes
ಅಂತಸ್ತುಗಳ,,,ಳ,yes
ಕಟ್ಟಡ,,,ಡ,yes
ವಾಸ್ತವವಾಗಿ,,,ಿ,yes
ಇಲ್ಲಿರುವುದು,,,ು,yes
ಕಟ್ಟಡದಲ್ಲಿ,,,ಿ,yes
ಸುಲ್ತಾನ,,,ನ,yes
ಅಹಮದ್,,,್,yes
ಶಹಾನ,,,ನ,yes
ಆಹ್ವಾನದ,,,ದ,yes
ಮೇರೆಗೆ,,,ೆ,yes
ಇರಾನಿನಿಂದ,,,ದ,yes
ಬಂದ,,,ದ,yes
ಇಸ್ಲಾಮೀ,,,ೀ,yes
ಸಂತ,,,ತ,yes
ಹಜರತ್,,,್,yes
ಖಲೀಲುಲ್ಲಾ,,,ಾ,yes
ಮತ್ತವರ,,,ರ,yes
ಕುಟುಂಬ,,,ಬ,yes
ವರ್ಗದವರನ್ನ,,,ನ,yes
ಸಮಾಧಿಗಳಿವೆ,,,ೆ,yes
ದಿಬ್ಬದಿಂದ,,,ದ,yes
ಇಳಿದುಬಂದು,,,ು,yes
ರಸ್ತೆಯಲ್ಲಿ,,,ಿ,yes
ಅಂದರೆ,,,ೆ,yes
ಅಷ್ಟೂರು,,,ು,yes
ದಾರಿಯಲ್ಲಿ,,,ಿ,yes
ಹೋದರೆ,,,ೆ,yes
ನಾಲ್ಕೈದು,,,ು,yes
ದರ್ಗಾಗಳ,,,ಳ,yes
ಸಮೂಹ,,,ಹ,yes
ಇದೆ,,,ೆ,yes
ಇಲ್ಲಿರುವ,,,ವ,yes
ದರ್ಗಾದಲ್ಲಿ,,,ಿ,yes
ವಜ್ರಗಳಿಂದ,,,ದ,yes
ಅಲಂಕರಿಸಲ್ಪಟ್ಟ,,,ಟ,yes
ಚಿತ್ರಗಳು,,,ು,yes
ಗೋರಿಯನ್ನು,,,ು,yes
ನೋಡಬಹುದಾಗಿದೆ,,,ೆ,yes
ಪಟ್ಟಣಕ್ಕೆ,,,ೆ,yes
ಉತ್ತರಭಾಗದಲ್ಲಿರುವ,,,ವ,yes
ಮಂಗಳಪೇಟೆಯು,,,ು,yes
ಕ್ಷೇತ್ರವಾಗಿದ್ದು,,,ು,yes
ಪ್ರತಿವರ್ಷ,,,ಷ,yes
ತಿಂಗಳಲ್ಲಿ,,,ಿ,yes
ಜಾತ್ರೆ,,,ೆ,yes
ನೆರೆಯುತ್ತದೆ,,,ೆ,yes
ಅದೇರೀತಿ,,,ಿ,yes
ಬಾಲಯೇಸುಜಾತ್ರೆ,,,ೆ,yes
ನಡೆಯುವುದುಂಟು,,,ು,yes
ಸಂತಪುರ,,,ರ,yes
ಹಲಬರ್ಗಾ,,,ಾ,yes
ಜಲಸಂಗ್ವಿ,,,ಿ,yes
ತಾಳಮರಗಿ,,,ಿ,yes
ಹುಲಸೂರ,,,ರ,yes
ಕವಡಿಯಾಳ,,,ಳ,yes
ಹುಮನಾಬಾದ,,,ದ,yes
ಮುಂತಾದೆಡೆಗಳಲ್ಲೂ,,,ೂ,yes
ಚರ್ಚುಗಳನ್ನು,,,ು,yes
ನರಸಿಂಹ,,,ಹ,yes
ಜರನಿ,,,ಿ,yes
ಕ್ಷೇತ್ರದಲ್ಲಿ,,,ಿ,yes
ಗವಿಯಲ್ಲಿ,,,ಿ,yes
ನಡುಮಟ್ಟದ,,,ದ,yes
ನೀರಿನಲ್ಲಿ,,,ಿ,yes
ಮೂವತ್ತು,,,ು,yes
ನಡೆದು,,,ು,yes
ಬಂದರೆ,,,ೆ,yes
ನರಸಿಂಹನ,,,ನ,yes
ದರ್ಶನ,,,ನ,yes
ಪಡೆಯಬಹುದು,,,ು,yes
ಬೀದರದಿಂದ,,,ದ,yes
ಕೆಳಕ್ಕೆ,,,ೆ,yes
ಕಣಿವೆಯಲ್ಲಿರುವ,,,ವ,yes
ಝರಿಯೊಂದು,,,ು,yes
ಹರಿಯುತ್ತಿದ್ದು,,,ು,yes
ನಾನಕ್,,,್,yes
ಝರಾ,,,ಾ,yes
ಸಿಕ್ಕರಿಗೆ,,,ೆ,yes
ಪವಿತ್ರ,,,ರ,yes
ತೀರ್ಥವೆನಿಸಿದೆ,,,ೆ,yes
ಸಿಖ್ಖರ,,,ರ,yes
ಧರ್ಮಗುರುಗಳಾದ,,,ದ,yes
ಗುರುನಾನಕರು,,,ು,yes
ಆಗಮನದಿಂದ,,,ದ,yes
ಪವಿತ್ರಗೊಳಿಸಿದ,,,ದ,yes
ಪುಣ್ಯಸ್ಥಳ,,,ಳ,yes
ಶ್ರೀ,,,ೀ,yes
ಮೈಲಾರ್,,,್,yes
ಮಲ್ಲಣ್ಣ,,,ಣ,yes
ದೇವಸ್ಥಾನ,,,ನ,yes
ಉದ್ಗಿರ್,,,್,yes
ಕಿ,,,ಿ,yes
ಮಿ,,,ಿ,yes
ನಿಂದ,,,ದ,yes
ಕ್ಷೇತ್ರ,,,ರ,yes
ಖಾನಪುರ್,,,್,yes
ಚಿಕ್ಕ,,,ಕ,yes
ಹಳ್ಳಿಯಲ್ಲಿ,,,ಿ,yes
ಇಡಿ,,,ಿ,yes
ಪ್ರಸಿದ್ದ,,,ದ,yes
ಪ್ರತಿ,,,ಿ,yes
ಲಕ್ಷ,,,ಷ,yes
ಭಕ್ತಾದಿಗಳು,,,ು,yes
ಬಂದು,,,ು,yes
ಶಿವನ,,,ನ,yes
ಉಗ್ರ,,,ರ,yes
ಪಡೆಯುತ್ತಾರೆ,,,ೆ,yes
ಇನ್ನೊಂದು,,,ು,yes
ಪಟ್ಟಣ,,,ಣ,yes
ಹುಮ್ನಾಬಾದ್,,,್,yes
ಮಾಣಿಕಪ್ರಭುಗಳ,,,ಳ,yes
ಮಠ,,,ಠ,yes
ನಿರ್ಮಿಸಲಾಗಿರುವ,,,ವ,yes
ವೀರಭದ್ರ,,,ರ,yes
ಜಾತ್ರೆಗಳು,,,ು,yes
ಪ್ರಮುಖವಾದುವು,,,ು,yes
ಬಸವ,,,ವ,yes
ಕಲ್ಯಾಣ,,,ಣ,yes
ತಪೋಭೂಮಿಯೆಂದೇ,,,ೇ,yes
ಅರಿವಿನ,,,ನ,yes
ಅನುಭವ,,,ವ,yes
ಮಂಟಪ,,,ಪ,yes
ಅಕ್ಕನಾಗಮ್ಮನ,,,ನ,yes
ಗವಿ,,,ಿ,yes
ಪರುಷಕಟ್ಟೆ,,,ೆ,yes
ಮಹಾಮನೆ,,,ೆ,yes
ತ್ರಿಪುರಾಂತಕ,,,ಕ,yes
ಕೆರೆ,,,ೆ,yes
ಮೊದಲಾಗಿ,,,ಿ,yes
ಸ್ಥಳಗಳನ್ನು,,,ು,yes
ಸುಸ್ಥಿತಿಯಲ್ಲಿರುವ,,,ವ,yes
ಕೋಟೆಯನ್ನು,,,ು,yes
ಹಿರೇಮಠ,,,ಠ,yes
ಕಲೆ,,,ೆ,yes
ಬಿದರಿಕಲೆ,,,ೆ,yes
ಪ್ರಪಂಚದಾದ್ಯಂತ,,,ತ,yes
ಖ್ಯಾತವಾಗಿರುವ,,,ವ,yes
ಕುಸುರಿ,,,ಿ,yes
ಕಲೆಯು,,,ು,yes
ಪರ್ಶಿಯಾ,,,ಾ,yes
ದೇಶದಿಂದ,,,ದ,yes
ಇಲ್ಲಿಗೆ,,,ೆ,yes
ತದನಂತರ,,,ರ,yes
ರೂಪವನ್ನು,,,ು,yes
ಪಡೆದುಕೊಂಡಿದೆ,,,ೆ,yes
ಕುಶಲ,,,ಲ,yes
ಕೆಲಸಗಾರರು,,,ು,yes
ತಾಮ್ರ,,,ರ,yes
ಸತುವಿನ,,,ನ,yes
ಧಾತುಗಳನ್ನು,,,ು,yes
ಮಿಶ್ರಮಾಡಿ,,,ಿ,yes
ಹೂಜಿ,,,ಿ,yes
ಮುಂತಾದ,,,ದ,yes
ವಸ್ತುಗಳನ್ನು,,,ು,yes
ತಯಾರಿಸಿ,,,ಿ,yes
ಅವುಗಳ,,,ಳ,yes
ಸಣ್ಣದಾಗಿ,,,ಿ,yes
ಕೊರೆದು,,,ು,yes
ಅದರಲ್ಲಿ,,,ಿ,yes
ಬೆಳ್ಳಿಯ,,,ಯ,yes
ತಂತಿಯನ್ನು,,,ು,yes
ಕೂರಿಸಿ,,,ಿ,yes
ಹೊಳಪು,,,ು,yes
ಕೊಡುತ್ತಾರೆ,,,ೆ,yes
ಬಿದರಿ,,,ಿ,yes
ಕಲೆಗೆ,,,ೆ,yes
ವಿದೇಶಗಳಲ್ಲೂ,,,ೂ,yes
ಬಲು,,,ು,yes
ಬೇಡಿಕೆಯಿದೆ,,,ೆ,yes
ವಿಧಾನಸಭೆ,,,ೆ,yes
ಸ್ಥಾನಗಳು,,,ು,yes
ಜಿಲ್ಲೆಯನ್ನು,,,ು,yes
ಕೆಳಗಿನ,,,ನ,yes
ವಿಧಾನಸಭಾ,,,ಾ,yes
ಕ್ಷೇತ್ರಗಳಿಂದ,,,ದ,yes
ಚುನಾಯಿತರಾದ,,,ದ,yes
ಆರು,,,ು,yes
ಸದಸ್ಯರ,,,ರ,yes
ಪ್ರತಿನಿಧಿಸಲಾಗುತ್ತದೆ,,,ೆ,yes
ರಹೀಮ್,,,್,yes
ಖಾನ್,,,್,yes
ಕಾಂಗ್ರೆಸ್,,,್,yes
ಶೈಲೇಂದ್ರ,,,ರ,yes
ಬೆಲ್ದಾಳೆ,,,ೆ,yes
ಬಿಜೆಪಿ,,,ಿ,yes
ಈಶ್ವರ,,,ರ,yes
ಖಂಡ್ರೆ,,,ೆ,yes
ಶರಣು,,,ು,yes
ಸಲಗರ,,,ರ,yes
ಔರಾದ್,,,್,yes
ಪ್ರಭು,,,ು,yes
ಚವ್ಹಾಣ್,,,್,yes
ಸಿದ್ದು,,,ು,yes
ಪಾಟೀಲ್,,,್,yes
ಶಿವಾಪುರ,,,ರ,yes
ಗ್ರಾಮವು,,,ು,yes
ವಿಜಯಪುರ,,,ರ,yes
ಮುದ್ದೇಬಿಹಾಳ,,,ಳ,yes
ತಾಲ್ಲೂಕಿನಲ್ಲಿದೆ,,,ೆ,yes
ಅಕ್ಷಾಂಶ,,,ಶ,yes
ಬರುತ್ತದೆ,,,ೆ,yes
ಬೆಸಿಗೆ,,,ೆ,yes
ಚಳಿಗಾಲದಲ್ಲಿ,,,ಿ,yes
ಹವಾಗುಣವು,,,ು,yes
ಹಿತಕರವಾಗಿದ್ದು,,,ು,yes
ಸಾಧಾರಣ,,,ಣ,yes
ಪ್ರಮಾಣದ,,,ದ,yes
ಮಳೆಯಾಗುತ್ತದೆ,,,ೆ,yes
ಬೇಸಿಗೆಯಲ್ಲಿ,,,ಿ,yes
ಉಷ್ಣತೆ,,,ೆ,yes
ಡಿಗ್ರಿವರೆಗೆ,,,ೆ,yes
ಎಪ್ರೀಲನಲ್ಲಿ,,,ಿ,yes
ಅತೀ,,,ೀ,yes
ಕಡಿಮೆ,,,ೆ,yes
ಡಿಗ್ರಿ,,,ಿ,yes
ಸೆಲ್ಸಿಯಸವರೆಗೆ,,,ೆ,yes
ಡಿಸೆಂಬರನಲ್ಲಿ,,,ಿ,yes
ದಾಖಲಾಗಿದೆ,,,ೆ,yes
ಬೇಸಿಗೆಕಾಲ,,,ಲ,yes
ಸೆಲ್ಸಿಯಸ್,,,್,yes
ಚಳಿಗಾಲ,,,ಲ,yes
ಮಳೆಗಾಲ,,,ಲ,yes
ಮಿಮಿ,,,ಿ,yes
ಗಳಸ್ಟು,,,ು,yes
ಆಗಿರುತ್ತದೆ,,,ೆ,yes
ಗಾಳಿ,,,ಿ,yes
ವೇಗ,,,ಗ,yes
ಕಿಮಿ,,,ಿ,yes
ಗಂ,,,ಂ,yes
ಜೂನ,,,ನ,yes
ಜುಲೈ,,,ೈ,yes
ಅಗಸ್ಟ್,,,್,yes
ಇರುತ್ತದೆ,,,ೆ,yes
ಜನಸಂಖ್ಯೆ,,,ೆ,yes
ಗ್ರಾಮದಲ್ಲಿ,,,ಿ,yes
ಪುರುಷರು,,,ು,yes
ಮಹಿಳೆಯರು,,,ು,yes
ಇದ್ದಾರೆ,,,ೆ,yes
ಭಾಷೆ,,,ೆ,yes
ಸಂಸ್ಕೃತಿಗಳ,,,ಳ,yes
ಪ್ರಭಾವದಿಂದಾಗಿ,,,ಿ,yes
ಮರಾಠಿ,,,ಿ,yes
ಹಿಂದಿ,,,ಿ,yes
ಮಿಶ್ರಿತ,,,ತ,yes
ವಿಶಿಷ್ಠವಾದ,,,ದ,yes
ಧಾನ್ಯ,,,ಯ,yes
ಜೋಳ,,,ಳ,yes
ಗೋಧಿ,,,ಿ,yes
ಅಕ್ಕಿ,,,ಿ,yes
ಮೆಕ್ಕೆ,,,ೆ,yes
ಬೇಳೆಕಾಳುಗಳು,,,ು,yes
ಜವಾರಿ,,,ಿ,yes
ಗುರುತಿಸಲ್ಪಡುವ,,,ವ,yes
ರುಚಿಯ,,,ಯ,yes
ಕಾಯಿಪಲ್ಯ,,,ಯ,yes
ಸೊಪ್ಪುಗಳು,,,ು,yes
ಹೆಸರುವಾಸಿ,,,ಿ,yes
ಸದಾಕಾಲವೂ,,,ೂ,yes
ಲಭ್ಯ,,,ಯ,yes
ಜೋಳದ,,,ದ,yes
ರೊಟ್ಟಿ,,,ಿ,yes
ಸೇಂಗಾ,,,ಾ,yes
ಚಟ್ನಿ,,,ಿ,yes
ಎಣ್ಣಿ,,,ಿ,yes
ಬದನೆಯಕಾಯಿ,,,ಿ,yes
ಪಲ್ಯ,,,ಯ,yes
ಕೆನೆಮೊಸರು,,,ು,yes
ಮೂಲೆಮೂಲೆಗಳಲ್ಲಿ,,,ಿ,yes
ಪ್ರಸಿದ್ಧಿ,,,ಿ,yes
ಪಡೆದಿವೆ,,,ೆ,yes
ಅಪ್ಪಟ,,,ಟ,yes
ಶೈಲಿಯ,,,ಯ,yes
ಕಲೆಯನ್ನು,,,ು,yes
ದೋತ್ರ,,,ರ,yes
ನೆಹರು,,,ು,yes
ಅಂಗಿ,,,ಿ,yes
ರುಮಾಲು,,,ು,yes
ಪಟಕ,,,ಕ,yes
ಧರಿಸುತ್ತಾರೆ,,,ೆ,yes
ಇಲಕಲ್ಲ,,,ಲ,yes
ಸೀರೆ,,,ೆ,yes
ಖಾದಿ,,,ಿ,yes
ಬಟ್ಟೆಗಳನ್ನು,,,ು,yes
ಜನರಿದ್ದಾರೆ,,,ೆ,yes
ಗ್ರಾಮದ,,,ದ,yes
ಇದರೊಂದಿಗೆ,,,ೆ,yes
ಭಾಷೆಗಳನ್ನು,,,ು,yes
ಮಾತನಾಡುತ್ತಾರೆ,,,ೆ,yes
ದೇವಾಲಯ,,,ಯ,yes
ಮಹಾಲಕ್ಷ್ಮಿ,,,ಿ,yes
ದುರ್ಗಾದೇವಿ,,,ಿ,yes
ಮಲ್ಲಿಕಾರ್ಜುನ,,,ನ,yes
ಬಸವೇಶ್ವರ,,,ರ,yes
ವೆಂಕಟೇಶ್ವರ,,,ರ,yes
ಪಾಂಡುರಂಗ,,,ಗ,yes
ಹಣಮಂತ,,,ತ,yes
ಮಸೀದಿ,,,ಿ,yes
ಸಮುದಾಯದ,,,ದ,yes
ದರ್ಗಾ,,,ಾ,yes
ನೀರಾವರಿ,,,ಿ,yes
ಪ್ರತಿಶತ,,,ತ,yes
ಭೂಮಿ,,,ಿ,yes
ಕಾಲುವೆ,,,ೆ,yes
ತೆರದ,,,ದ,yes
ಬಾವಿ,,,ಿ,yes
ಕೊಳವೆ,,,ೆ,yes
ಬಾವಿಯಿಂದ,,,ದ,yes
ಇದ್ದು,,,ು,yes
ಪ್ರಮುಖವಾಗಿ,,,ಿ,yes
ಕಬ್ಬು,,,ು,yes
ಮೆಕ್ಕೆಜೋಳ,,,ಳ,yes
ಉಳ್ಳಾಗಡ್ಡಿ,,,ಿ,yes
ಈರುಳ್ಳಿ,,,ಿ,yes
ನಿಂಬೆಹಣ್ಣು,,,ು,yes
ಪಪ್ಪಾಯ,,,ಯ,yes
ಅರಿಶಿನ,,,ನ,yes
ನೆಲಕಡಲೆ,,,ೆ,yes
ಶೇಂಗಾ,,,ಾ,yes
ಕಡಲೆಕಾಯಿ,,,ಿ,yes
ಸೂರ್ಯಕಾಂತಿ,,,ಿ,yes
ದ್ರಾಕ್ಷಿ,,,ಿ,yes
ದಾಳಿಂಬೆ,,,ೆ,yes
ಬೆಳೆಗಳನ್ನು,,,ು,yes
ಬೆಳೆಯುತ್ತಾರೆ,,,ೆ,yes
ಕೃಷಿ,,,ಿ,yes
ಉದ್ಯೋಗವೇ,,,ೇ,yes
ತೋಟಗಾರಿಕೆಯಾಗಿದೆ,,,ೆ,yes
ಜನರು,,,ು,yes
ಮಾಡುತ್ತಾರೆ,,,ೆ,yes
ಕೇವಲ,,,ಲ,yes
ಮಾತ್ರ,,,ರ,yes
ಉಳಿದ,,,ದ,yes
ಮಳೆಯನ್ನೇ,,,ೇ,yes
ಅವಲಂಭಿಸಿದೆ,,,ೆ,yes
ಆರ್ಥಿಕತೆ,,,ೆ,yes
ಆರ್ಥಿಕ,,,ಕ,yes
ವ್ಯವಸ್ಥೆ,,,ೆ,yes
ಮಧ್ಯಮ,,,ಮ,yes
ತರಗತಿಯಲ್ಲಿದೆ,,,ೆ,yes
ಉದ್ಯೋಗ,,,ಗ,yes
ಫಲವತ್ತಾದ,,,ದ,yes
ಇದುವುದರಿಂದ,,,ದ,yes
ಕೃಷಿಯಲ್ಲಿ,,,ಿ,yes
ನಿರತರಾಗಿದ್ದಾರೆ,,,ೆ,yes
ಕೃಷಿಯು,,,ು,yes
ಉದ್ಯೋಗವಾಗಿದೆ,,,ೆ,yes
ಹೈನುಗಾರಿಕೆ,,,ೆ,yes
ಕೋಳಿ,,,ಿ,yes
ಸಾಕಾಣಿಕೆ,,,ೆ,yes
ದನಗಳ,,,ಳ,yes
ಉಪ,,,ಪ,yes
ಕಸುಬುಗಳಾಗಿವೆ,,,ೆ,yes
ಬೆಳೆ,,,ೆ,yes
ಬೆಳೆಗಳು,,,ು,yes
ಸಜ್ಜೆ,,,ೆ,yes
ಕಡಲೆ,,,ೆ,yes
ತೊಗರಿ,,,ಿ,yes
ಇತ್ಯಾದಿ,,,ಿ,yes
ನಿಂಬೆ,,,ೆ,yes
ಮಾವು,,,ು,yes
ಬಾಳೆ,,,ೆ,yes
ಅರಿಸಿಣ,,,ಣ,yes
ಪಪ್ಪಾಯಿ,,,ಿ,yes
ಕಲ್ಲಂಗಡಿ,,,ಿ,yes
ತರಕಾರಿ,,,ಿ,yes
ಬದನೆಕಾಯಿ,,,ಿ,yes
ಟೊಮ್ಯಾಟೊ,,,ೊ,yes
ಹೀರೇಕಾಯಿ,,,ಿ,yes
ನುಗ್ಗೆಕಾಯಿ,,,ಿ,yes
ಗೆಣಸು,,,ು,yes
ಗಜ್ಜರಿ,,,ಿ,yes
ಮೆಣಸಿನಕಾಯಿ,,,ಿ,yes
ಸೌತೆಕಾಯಿ,,,ಿ,yes
ಮೊಲಂಗಿ,,,ಿ,yes
ಅವರೆಕಾಯಿ,,,ಿ,yes
ಪಡವಲಕಾಯಿ,,,ಿ,yes
ಕುಂಬಳಕಾಯಿ,,,ಿ,yes
ಮೆಂತೆ,,,ೆ,yes
ಪಲ್ಲೆ,,,ೆ,yes
ಕೊತಂಬರಿ,,,ಿ,yes
ಆಲದ,,,ದ,yes
ಮರ,,,ರ,yes
ಬೇವಿನ,,,ನ,yes
ಜಾಲಿ,,,ಿ,yes
ಹೈಬ್ರೀಡ್,,,್,yes
ಮಾವಿನ,,,ನ,yes
ಅರಳಿ,,,ಿ,yes
ಪ್ರಾಣಿ,,,ಿ,yes
ತೋಳ,,,ಳ,yes
ನರಿ,,,ಿ,yes
ಹಾವು,,,ು,yes
ಮೊಲ,,,ಲ,yes
ನವಿಲು,,,ು,yes
ಬೆಳ್ಳಕ್ಕಿ,,,ಿ,yes
ಗುಬ್ಬಿ,,,ಿ,yes
ಕಾಗೆ,,,ೆ,yes
ಕೋಗಿಲೆ,,,ೆ,yes
ಹಬ್ಬ,,,ಬ,yes
ಕಾರ,,,ರ,yes
ಹುಣ್ಣುಮೆ,,,ೆ,yes
ಯುಗಾದಿ,,,ಿ,yes
ದಸರಾ,,,ಾ,yes
ದೀಪಾವಳಿ,,,ಿ,yes
ನಾಗರ,,,ರ,yes
ಪಂಚಮಿ,,,ಿ,yes
ಉರಸು,,,ು,yes
ಮೊಹರಮ್,,,್,yes
ಹಬ್ಬಗಳನ್ನು,,,ು,yes
ಆಚರಿಸುತ್ತಾರೆ,,,ೆ,yes
ಶಿಕ್ಷಣ,,,ಣ,yes
ಸರಕಾರಿ,,,ಿ,yes
ಪ್ರಾಥಮಿಕ,,,ಕ,yes
ಶಾಲೆ,,,ೆ,yes
ಸಾಕ್ಷರತೆ,,,ೆ,yes
ಸಾಕ್ಷರತೆಯ,,,ಯ,yes
ಪ್ರಮಾಣ,,,ಣ,yes
ರಾಜಕೀಯ,,,ಯ,yes
ಲೋಕಸಭಾ,,,ಾ,yes
ಕ್ಷೇತ್ರದ,,,ದ,yes
ವ್ಯಾಪ್ತಿಯಲ್ಲಿ,,,ಿ,yes
ಊಎತೆರ್ಸೆನ್,,,್,yes
ಜರ್ಮನ್,,,್,yes
ಭಾಷ,,,ಷ,yes
ಜರ್ಮನಿದೇಶದ,,,ದ,yes
ವಿಸ್ತೀರ್ಣ,,,ಣ,yes
ಚದುರ,,,ರ,yes
ಸಾಂದ್ರತೆ,,,ೆ,yes
ಕಾಲಮಾನ,,,ನ,yes
ಕೃಪಾಚಾರ್ಯ,,,ಯ,yes
ಮಹಾಭಾರತದಲ್ಲಿ,,,ಿ,yes
ಇವನು,,,ು,yes
ಹಸ್ತಿನಾಪುರದಲ್ಲಿ,,,ಿ,yes
ರಾಜಕುವರರಿಗೆ,,,ೆ,yes
ವಿದ್ಯೆ,,,ೆ,yes
ಕಲಿಸುತ್ತಿದ್ದನು,,,ು,yes
ಆಸ್ಥಾನಪುರೋಹಿತನೂ,,,ೂ,yes
ಆಗಿದ್ದನು,,,ು,yes
ಇವನ,,,ನ,yes
ತಂಗಿ,,,ಿ,yes
ಕೃಪಿಯನ್ನು,,,ು,yes
ದ್ರೋಣಾಚಾರ್ಯರು,,,ು,yes
ಮದುವೆಯಾಗುತ್ತಾರೆ,,,ೆ,yes
ಏಳು,,,ು,yes
ಚಿರಂಜೀವಿಗಳಲ್ಲಿ,,,ಿ,yes
ಒಬ್ಬನು,,,ು,yes
ಕೃಪ,,,ಪ,yes
ಕೃಪೆಯರೂ,,,ೂ,yes
ಅವನ,,,ನ,yes
ಶರಧನ್ವನು,,,ು,yes
ಅಪ್ಸರೆಯನ್ನು,,,ು,yes
ವೀರ್ಯವು,,,ು,yes
ಹುಲ್ಲಿನ,,,ನ,yes
ಬಿದ್ದಾಗ,,,ಗ,yes
ಅದರಿಂದ,,,ದ,yes
ತಕ್ಷಣ,,,ಣ,yes
ಹುಟ್ಟಿದರು,,,ು,yes
ಝೀ,,,ೀ,yes
ಎಂಬುದು,,,ು,yes
ಚಂದಾದಾರಿಕೆಯ,,,ಯ,yes
ವೀಡಿಯೊ,,,ೊ,yes
ಆನ್,,,್,yes
ಡಿಮಾಂಡ್,,,್,yes
ಓವರ್,,,್,yes
ಟಾಪ್,,,್,yes
ಸ್ಟ್ರೀಮಿಂಗ್,,,್,yes
ಸೇವೆಯಾಗಿದ್ದು,,,ು,yes
ಎಂಟರ್,,,್,yes
ಟೈನ್,,,್,yes
ಪ್ರೈಸಸ್,,,್,yes
ನಡೆಸುತ್ತದೆ,,,ೆ,yes
ಭಾರತದಲ್ಲಿ,,,ಿ,yes
ಫೆಬ್ರವರಿ,,,ಿ,yes
ಭಾಷೆಗಳಲ್ಲಿ,,,ಿ,yes
ವಿಷಯದೊಂದಿಗೆ,,,ೆ,yes
ಪ್ರಾರಂಭಿಸಲಾಯಿತು,,,ು,yes
ಮೊಬೈಲ್,,,್,yes
ಅಪ್ಲಿಕೇಶನ್,,,್,yes
ವೆಬ್,,,್,yes
ಆಂಡ್ರಾಯ್ಡ್,,,್,yes
ಐಒಎಸ್,,,್,yes
ಸ್ಮಾರ್ಟ್,,,್,yes
ಟಿವಿಗಳು,,,ು,yes
ಸಾಧನಗಳಲ್ಲಿ,,,ಿ,yes
ಲಭ್ಯವಿದೆ,,,ೆ,yes
ಡಿಸೆಂಬರ್,,,್,yes
ಮಿಲಿಯನ್,,,್,yes
ಮಾಸಿಕ,,,ಕ,yes
ಸಕ್ರಿಯ,,,ಯ,yes
ಬಳಕೆದಾರರನ್ನು,,,ು,yes
ಕ್ಲೇಮ್,,,್,yes
ಮಾಡಿದೆ,,,ೆ,yes
ಇತಿಹಾಸ,,,ಸ,yes
ಓಝೀ,,,ೀ,yes
ಡಿಜಿಟಲ್,,,್,yes
ಲೈನ್,,,್,yes
ಪ್ಲಾಟ್,,,್,yes
ಫಾರ್ಮ್,,,್,yes
ಆಗಿದ್ದು,,,ು,yes
ರಂತೆ,,,ೆ,yes
ಸೇವೆಯನ್ನು,,,ು,yes
ಸಂಯೋಜಿಸಲಾಗಿದೆ,,,ೆ,yes
ಟಿವಿ,,,ಿ,yes
ಕೆಫೆ,,,ೆ,yes
ನಂತಹ,,,ಹ,yes
ಎಲ್ಲಾ,,,ಾ,yes
ಚಾನೆಲ್,,,್,yes
ಕಾರ್ಯಕ್ರಮಗಳನ್ನು,,,ು,yes
ಪ್ರಸಾರ,,,ರ,yes
ಮಾಡಿತು,,,ು,yes
ಜಿಂದಗೀ,,,ೀ,yes
ಒಝೀ,,,ೀ,yes
ಎಕ್ಸ್,,,್,yes
ಕ್ಲೂಸಿವ್,,,್,yes
ಆಗಿದ್ದರಿಂದ,,,ದ,yes
ಜಿಂದಗಿ,,,ಿ,yes
ಪ್ರತ್ಯೇಕವಾಗಿ,,,ಿ,yes
ಜಾಹೀರಾತು,,,ು,yes
ಬೆಂಬಲವನ್ನು,,,ು,yes
ಸಾಧನವನ್ನು,,,ು,yes
ಬಳಸಿದರೂ,,,ೂ,yes
ಉಚಿತವಾಗಿದೆ,,,ೆ,yes
ನಿಂದಾಗಿ,,,ಿ,yes
ಸ್ಥಗಿತಗೊಂಡಿದೆ,,,ೆ,yes
ಏಕೀಕರಣ,,,ಣ,yes
ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ,,,ವ,yes
ಗಳನ್ನು,,,ು,yes
ಒಳಗೊಳ್ಳುತ್ತದೆ,,,ೆ,yes
ಓಜಿ,,,ಿ,yes
ಆಧಾರಿತ,,,ತ,yes
ಡಿಟ್ಟೋ,,,ೋ,yes
ಚಂದಾದಾರಿಕೆ,,,ೆ,yes
ಮೂಲಗಳು,,,ು,yes
ಅಂತರರಾಷ್ಟ್ರೀಯ,,,ಯ,yes
